128   	27/12/2017	6	7	14	22	48	8
129   	30/12/2017	12	13	28	35	40	8
130   	01/01/2018	7	9	10	14	43	1
131   	03/01/2018	4	23	27	34	44	4
132   	06/01/2018	6	17	31	40	45	9
133   	08/01/2018	8	37	43	44	45	2
134   	10/01/2018	7	9	16	18	49	3
135   	13/01/2018	20	31	35	36	48	10
136   	15/01/2018	2	5	15	22	28	2
137   	17/01/2018	4	16	25	40	49	3
138   	20/01/2018	27	32	38	44	46	7
139   	22/01/2018	1	11	14	16	31	2
140   	24/01/2018	9	23	28	35	37	5
141   	27/01/2018	9	10	34	39	45	10
142   	29/01/2018	11	21	27	32	36	6
143   	31/01/2018	4	16	26	29	49	1
144   	03/02/2018	9	13	22	23	38	4
145   	05/02/2018	1	7	29	30	45	7
146   	07/02/2018	13	17	33	44	48	3
147   	10/02/2018	2	19	31	40	42	5
148   	12/02/2018	3	27	32	35	48	9
149   	14/02/2018	3	5	13	19	44	4
150   	17/02/2018	14	22	38	48	49	9
151   	19/02/2018	8	9	28	29	32	2
152   	21/02/2018	2	12	16	28	41	1
153   	24/02/2018	6	9	12	31	43	3
154   	26/02/2018	13	34	37	39	42	3
155   	28/02/2018	5	28	31	42	49	7
156   	03/03/2018	2	3	4	8	31	9
157   	05/03/2018	17	25	38	41	44	9
158   	07/03/2018	6	13	18	36	37	5
159   	10/03/2018	5	18	21	23	47	6
160   	12/03/2018	7	10	13	27	38	8
161   	14/03/2018	3	4	13	36	46	10
162   	17/03/2018	13	30	36	43	48	9
163   	19/03/2018	15	20	24	27	46	10
164   	21/03/2018	21	29	30	31	45	2
165   	24/03/2018	11	26	31	35	44	9
166   	26/03/2018	4	10	17	27	37	10
167   	28/03/2018	5	15	39	43	45	10
168   	31/03/2018	2	18	31	41	42	8
169   	02/04/2018	13	14	18	28	34	2
170   	04/04/2018	19	22	36	40	45	6
171   	07/04/2018	7	10	26	34	45	7
172   	09/04/2018	1	20	28	32	42	6
173   	11/04/2018	1	17	32	40	46	8
174   	14/04/2018	1	5	24	36	49	7
175   	16/04/2018	6	16	21	25	26	5
176   	18/04/2018	11	17	18	38	46	8
177   	21/04/2018	2	11	20	26	39	5
178   	23/04/2018	2	20	29	32	33	8
179   	25/04/2018	5	10	21	23	36	1
180   	28/04/2018	14	31	36	40	47	2
181   	30/04/2018	7	36	43	48	49	7
182   	02/05/2018	1	8	10	14	21	10
183   	05/05/2018	9	15	30	41	47	5
184   	07/05/2018	10	13	23	43	46	6
185   	09/05/2018	5	10	23	34	35	6
186   	12/05/2018	5	6	9	23	47	10
187   	14/05/2018	1	5	23	33	40	8
188   	16/05/2018	7	23	37	41	44	8
189   	19/05/2018	5	12	30	45	47	9
190   	21/05/2018	4	5	16	20	46	5
191   	23/05/2018	3	14	25	29	36	9
192   	26/05/2018	2	3	24	26	43	8
193   	28/05/2018	10	21	23	25	35	10
194   	30/05/2018	4	33	36	41	44	6
195   	02/06/2018	7	13	18	31	35	4
196   	04/06/2018	8	16	35	38	48	2
197   	06/06/2018	5	6	33	43	47	2
198   	09/06/2018	5	7	9	12	16	10
199   	11/06/2018	14	25	41	44	49	4
200   	13/06/2018	15	20	29	48	49	1
201   	16/06/2018	8	17	19	35	43	9
202   	18/06/2018	2	7	13	34	44	8
203   	20/06/2018	6	8	30	33	43	3
204   	23/06/2018	10	32	36	41	49	10
205   	25/06/2018	9	13	14	21	32	5
206   	27/06/2018	8	9	11	26	41	10
207   	30/06/2018	5	23	29	36	45	7
208   	02/07/2018	16	36	38	45	48	8
209   	04/07/2018	16	20	23	41	45	5
210   	07/07/2018	3	10	11	34	41	10
211   	09/07/2018	9	19	21	36	40	1
212   	11/07/2018	1	11	22	42	46	4
213   	14/07/2018	3	20	37	45	47	3
214   	16/07/2018	3	9	16	31	36	1
215   	18/07/2018	18	26	27	35	43	7
216   	21/07/2018	1	9	18	28	44	10
217   	23/07/2018	7	11	20	40	41	6
218   	25/07/2018	20	22	27	30	35	3
219   	28/07/2018	7	13	18	21	23	10
220   	30/07/2018	7	13	33	41	43	2
221   	01/08/2018	15	17	35	45	47	4
222   	04/08/2018	9	23	32	38	41	3
223   	06/08/2018	4	23	30	32	37	6
224   	08/08/2018	5	15	19	24	29	8
225   	11/08/2018	14	27	41	44	46	5
226   	13/08/2018	2	10	19	21	40	6
227   	15/08/2018	6	21	27	40	47	8
228   	18/08/2018	16	31	33	37	49	8
229   	20/08/2018	15	18	40	42	48	10
230   	22/08/2018	6	12	16	40	42	3
231   	25/08/2018	6	15	16	29	44	3
232   	27/08/2018	10	17	18	24	40	2
233   	29/08/2018	17	19	31	40	45	1
234   	01/09/2018	11	32	35	41	42	6
235   	03/09/2018	1	2	15	18	41	10
236   	05/09/2018	6	7	15	34	39	1
237   	08/09/2018	6	19	20	22	34	10
238   	10/09/2018	19	20	27	38	46	10
239   	12/09/2018	4	11	24	33	35	9
240   	15/09/2018	1	11	13	26	46	5
241   	17/09/2018	8	15	26	42	43	5
242   	19/09/2018	4	15	25	27	42	5
243   	22/09/2018	14	18	37	38	39	9
244   	24/09/2018	6	8	12	17	30	3
